Scrape_Timestamp,Raw_Web_Data
2026-09-22 07:44:05,"Achieve Greatness: California State University, Fullerton Skip to Content (Press Enter) Quicklinks A-Z Index Colleges Locations Careers Give Emergency Info Directory Search Search Options CSUF Site Directory Colleges The Arts Business and Economics Communications Education Engineering and Computer Science Health and Human Development Humanities and Social Sciences Natural Sciences and Mathematics Extension Locations Grand Central Art Center Fullerton Arboretum Careers Emergency Info Give A-Z Index Quicklinks Webmail Academic Advisement Academic Affairs Admissions Office of the Registrar Associated Students, Inc. Bookstore: Titan Shops Campus Dining Career Center Catalog Class Search COVID-19 Daily Titan Financial Aid Housing and Residence Life Human Resources Information Technology Winter Session Parking Police Pollak Library Student Affairs Student Business Services Summer Sessions Transcripts Veterans Resource Center Directory: Search CSUF People Titan Community Support Resources Quicklinks Academics Degrees Colleges The Arts Business and Economics Communications Education Engineering and Computer Science Health and Human Development Humanities and Social Sciences Natural Sciences and Mathematics Extension Academic Calendar Catalog Research more... About CSUF Overview Mission and Goals Rankings Tuition College Enrollment Accreditation Divisions Strategic Plan Engagement and Belonging Careers at CSUF Pollak Library Titan Athletics Visit the Campus Give to CSUF Portal for Students, Faculty and Staff Students: Titan Hub Prospective Students Parents & Families Alumni Athletics Calendar Give About Academics Library Athletics Visit Give to CSUF California State University, Fullerton Titans Celebrate Latinx Heritage Month Visit Our Colleges Arts Business and Economics Communications Education Engineering and Computer Science Health and Human Development Humanities and Social Sciences Natural Sciences and Mathematics News Events CSUF School of Nursing Named National Center of Excellence CSUF Celebrates Grand Opening of Jewel Plummer Cobb Hall Cal State Fullerton Kicks Off the 2026-27 Academic Year Meet CSUF’s New Faculty for the 2026-27 Academic Year New Blended Programs Offer Bachelor’s and Master’s Degrees in Five Years More News For Journalists Follow Us Facebook Instagram LinkedIn YouTube Spotify More Meet the Grads Project Rebound Scholar Accepted to Columbia University Master’s Program Sociology, Philosophy Grad Named One of the ‘Most Influential People in OC’ Accounting Student’s Internships Lead to Auditing Role at Big Four Firm A Childhood Filled With Books Inspires Grad Student’s Passion for Teaching Student’s Nursing Career Inspired by Personal Journey With Cancer Meet our Alumni Our graduates go on to become Titans in their fields, joining an alumni network that is 344,000 strong. When I realized that I was going to be a theatre arts major at Cal State Fullerton, my goals seemed more legitimate. Kirsten Vangsness ’96, “Criminal Minds” actress Read More Cal State Fullerton gave me so much support with its dedication to educating first-generation students. Joshua González ’18, Mercado González general manager Read More I didn’t know what photojournalism was until I was at Cal State Fullerton. Christina House ’06, Los Angeles Times Pulitzer Prize-winning photographer Read More The training I got at Cal State Fullerton, compared to what I've seen out in the real world, is top notch. Omid Abtahi ’02, “The Mandalorian” actor Read More Explore Things to Explore Titans Athletics The Cal State Fullerton Titans participate in the NCAA Division I Big West Conference and have 12 national championships in seven different sports. Pollak Library The Pollak Library provides extensive services and assistance to the CSUF community, as well as to visiting students and scholars, and to the public. The library is nationally recognized for innovative spaces, collections, services, tools, and its programs. Arboretum and Botanical Garden at Cal State Fullerton The 26-acre preserve supports the academic mission of CSUF with a world class living and historical collection and to foster an appreciation for plant conservation, botanical research and horticulture. Contacts and Addresses | General: 657-278-2011 | Emergency Closure Info: 877-278-1712 Tell us about a web accessibility problem . | © California State University, Fullerton. All Rights Reserved. CSUF events are open to all who are interested or would like to participate, regardless of race, sex, color, ethnicity, national origin, or other protected statuses. Additional Resources Emergency Information CSUF Police CSUF Accessibility | Feedback Form Download Adobe Acrobat Reader Acrobat Reader | Microsoft Viewer Cookie Settings Privacy Policy Annual Security Report (Clery) California Campus Safety Plan Title IX Parenting Students Site Index Campus Map CSU This page uses javascript. You do not have javascript enabled, some functions will be disabled."
2026-09-22 07:46:24,Availabile Parking Spaces Your browser does not support JavaScript! Available Parking Spaces Nutwood Structure Total Spots 2484 9/22/2026 12:46:00 AM Directions (1) 1848 Levels (1) State College Structure Total Spots 1373 9/22/2026 12:46:00 AM Directions (2) 1158 Levels (2) Eastside North Total Spots 1880 9/22/2026 12:46:00 AM Directions (3) 1835 Levels (3) Eastside South Total Spots 1341 9/22/2026 12:46:00 AM Directions (4) 1314 Levels (4) S8 and S10 Total Spots 2104 9/22/2026 12:46:00 AM Directions (5) 791 Fullerton Free Church Total Spots 800 08/24/2026 - 12/10/2026 Directions (6) Closed S8 and S10 are located at the corner of St. College and Yorba Linda.
2026-09-22 15:07:01,Availabile Parking Spaces Your browser does not support JavaScript! Available Parking Spaces Nutwood Structure Total Spots 2484 9/22/2026 8:07:00 AM Directions (1) Full Levels (1) State College Structure Total Spots 1373 9/22/2026 8:07:00 AM Directions (2) 857 Levels (2) Eastside North Total Spots 1880 9/22/2026 8:07:00 AM Directions (3) 1433 Levels (3) Eastside South Total Spots 1341 9/22/2026 8:07:00 AM Directions (4) 748 Levels (4) S8 and S10 Total Spots 2104 9/22/2026 8:07:00 AM Directions (5) 690 Fullerton Free Church Total Spots 800 08/24/2026 - 12/10/2026 Directions (6) Open S8 and S10 are located at the corner of St. College and Yorba Linda.
2026-09-22 15:22:15,Availabile Parking Spaces Your browser does not support JavaScript! Available Parking Spaces Nutwood Structure Total Spots 2484 9/22/2026 8:22:00 AM Directions (1) Full Levels (1) State College Structure Total Spots 1373 9/22/2026 8:22:00 AM Directions (2) 677 Levels (2) Eastside North Total Spots 1880 9/22/2026 8:22:00 AM Directions (3) 1222 Levels (3) Eastside South Total Spots 1341 9/22/2026 8:22:00 AM Directions (4) 548 Levels (4) S8 and S10 Total Spots 2104 9/22/2026 8:22:00 AM Directions (5) 657 Fullerton Free Church Total Spots 800 08/24/2026 - 12/10/2026 Directions (6) Open S8 and S10 are located at the corner of St. College and Yorba Linda.
2026-09-22 15:37:25,Availabile Parking Spaces Your browser does not support JavaScript! Available Parking Spaces Nutwood Structure Total Spots 2484 9/22/2026 8:37:00 AM Directions (1) Full Levels (1) State College Structure Total Spots 1373 9/22/2026 8:37:00 AM Directions (2) 554 Levels (2) Eastside North Total Spots 1880 9/22/2026 8:37:00 AM Directions (3) 989 Levels (3) Eastside South Total Spots 1341 9/22/2026 8:37:00 AM Directions (4) 362 Levels (4) S8 and S10 Total Spots 2104 9/22/2026 8:37:00 AM Directions (5) 698 Fullerton Free Church Total Spots 800 08/24/2026 - 12/10/2026 Directions (6) Open S8 and S10 are located at the corner of St. College and Yorba Linda.
2026-09-22 15:47:49,Availabile Parking Spaces Your browser does not support JavaScript! Available Parking Spaces Nutwood Structure Total Spots 2484 9/22/2026 8:48:00 AM Directions (1) Full Levels (1) State College Structure Total Spots 1373 9/22/2026 8:48:00 AM Directions (2) 442 Levels (2) Eastside North Total Spots 1880 9/22/2026 8:48:00 AM Directions (3) 884 Levels (3) Eastside South Total Spots 1341 9/22/2026 8:48:00 AM Directions (4) 322 Levels (4) S8 and S10 Total Spots 2104 9/22/2026 8:48:00 AM Directions (5) 680 Fullerton Free Church Total Spots 800 08/24/2026 - 12/10/2026 Directions (6) Open S8 and S10 are located at the corner of St. College and Yorba Linda.
2026-09-22 15:56:20,Availabile Parking Spaces Your browser does not support JavaScript! Available Parking Spaces Nutwood Structure Total Spots 2484 9/22/2026 8:56:00 AM Directions (1) 29 Levels (1) State College Structure Total Spots 1373 9/22/2026 8:56:00 AM Directions (2) 389 Levels (2) Eastside North Total Spots 1880 9/22/2026 8:56:00 AM Directions (3) 791 Levels (3) Eastside South Total Spots 1341 9/22/2026 8:56:00 AM Directions (4) 284 Levels (4) S8 and S10 Total Spots 2104 9/22/2026 8:56:00 AM Directions (5) 664 Fullerton Free Church Total Spots 800 08/24/2026 - 12/10/2026 Directions (6) Open S8 and S10 are located at the corner of St. College and Yorba Linda.
2026-09-22 16:09:04,Availabile Parking Spaces Your browser does not support JavaScript! Available Parking Spaces Nutwood Structure Total Spots 2484 9/22/2026 9:09:00 AM Directions (1) 28 Levels (1) State College Structure Total Spots 1373 9/22/2026 9:09:00 AM Directions (2) 286 Levels (2) Eastside North Total Spots 1880 9/22/2026 9:09:00 AM Directions (3) 633 Levels (3) Eastside South Total Spots 1341 9/22/2026 9:09:00 AM Directions (4) 232 Levels (4) S8 and S10 Total Spots 2104 9/22/2026 9:09:00 AM Directions (5) 646 Fullerton Free Church Total Spots 800 08/24/2026 - 12/10/2026 Directions (6) Open S8 and S10 are located at the corner of St. College and Yorba Linda.
2026-09-22 16:24:34,Availabile Parking Spaces Your browser does not support JavaScript! Available Parking Spaces Nutwood Structure Total Spots 2484 9/22/2026 9:24:00 AM Directions (1) 45 Levels (1) State College Structure Total Spots 1373 9/22/2026 9:24:00 AM Directions (2) 231 Levels (2) Eastside North Total Spots 1880 9/22/2026 9:24:00 AM Directions (3) 455 Levels (3) Eastside South Total Spots 1341 9/22/2026 9:24:00 AM Directions (4) 168 Levels (4) S8 and S10 Total Spots 2104 9/22/2026 9:24:00 AM Directions (5) 596 Fullerton Free Church Total Spots 800 08/24/2026 - 12/10/2026 Directions (6) Open S8 and S10 are located at the corner of St. College and Yorba Linda.
2026-09-22 16:39:12,Availabile Parking Spaces Your browser does not support JavaScript! Available Parking Spaces Nutwood Structure Total Spots 2484 9/22/2026 9:39:00 AM Directions (1) Full Levels (1) State College Structure Total Spots 1373 9/22/2026 9:39:00 AM Directions (2) 112 Levels (2) Eastside North Total Spots 1880 9/22/2026 9:39:00 AM Directions (3) 271 Levels (3) Eastside South Total Spots 1341 9/22/2026 9:39:00 AM Directions (4) 78 Levels (4) S8 and S10 Total Spots 2104 9/22/2026 9:39:00 AM Directions (5) 641 Fullerton Free Church Total Spots 800 08/24/2026 - 12/10/2026 Directions (6) Open S8 and S10 are located at the corner of St. College and Yorba Linda.
